ID	Hardness	Diameter	T-Flour	B-Flour	SRC-W
GID1	60.52102887	2.488401343	70.04102295	50.28026813	59.06115397
GID2	66.71350557	2.554941829	69.81940123	48.62122503	58.24570837
GID3	61.8102931	2.625922317	69.67434848	49.68704769	60.59582916
GID4	66.14264542	2.549508573	69.44563615	48.36536912	60.27632502
GID5	67.56591913	2.504542526	70.68139143	49.17848161	58.64225024
GID6	76.5131118	2.533223755	70.08114719	46.50422738	58.45725052
GID7	67.94301299	2.674342244	69.46509249	47.89687056	59.53430011
GID8	69.55935792	2.558788296	70.10616133	48.95371751	60.70855938
GID9	63.45013169	2.498028762	71.46079658	51.51853486	58.51218515
GID10	63.55450187	2.553391793	70.06384428	49.91066946	58.43503977
GID11	69.48486317	2.453668065	71.96100131	51.29037279	58.22795503
GID12	58.41157712	2.585732637	73.88691426	54.02626741	56.84127842
GID13	63.92783424	2.711030418	70.87928955	50.17373588	60.33829836
GID14	59.63094189	2.600900785	68.02044179	47.65594259	59.19293175
GID15	60.28813013	2.453065363	67.82204539	47.23961114	59.69648507
GID16	63.53926409	2.707059289	69.42324867	49.0432121	58.69945675
GID17	68.74156552	2.612712258	69.24930305	45.93596783	58.86918123
GID18	69.63578258	2.475930454	69.11389913	46.73641896	58.86211413
GID19	65.79161299	2.759050688	69.90874825	47.04093712	64.18633581
GID20	76.65326651	2.641553817	67.52601919	40.26881485	69.67999051
GID21	68.30547347	2.651921726	68.82176412	47.73980913	64.33459758
GID22	60.97795525	2.741476081	68.51413896	47.81062317	58.51475465
GID23	69.56432682	2.603810319	69.13805668	44.19714922	61.35093485
GID24	70.6009206	2.734095694	67.94738404	42.77293329	63.38990065
GID25	69.23165634	2.649659623	68.54090881	45.48314152	60.97579634
GID26	74.91549716	2.700733206	67.0787997	40.15431742	64.26185622
GID27	78.25266347	2.742616483	66.70262316	38.71131477	71.15391751
GID28	72.75022125	2.739060894	68.56533826	45.28441386	63.16265036
GID29	63.24883891	2.717504013	68.54314488	46.0501374	61.40231421
GID30	70.48779274	2.717970854	69.4236018	45.44105635	62.75675033
GID31	66.50961505	2.510397556	69.5111438	50.38979789	57.62120616
GID32	66.4181179	2.345500968	69.43359183	50.46693108	56.42407268
GID33	71.99018157	2.777560232	69.28290635	42.9909135	66.86177686
GID34	73.97350087	2.469341204	69.60370393	47.3400622	60.63136993
GID35	70.96817255	2.465953802	70.00665879	47.98578208	61.43343317
GID36	75.52937579	2.579749099	67.81692369	45.32400443	61.44232427
GID37	68.25261897	2.80011339	66.57511708	44.45290911	63.06337309
GID38	67.03707914	2.663398562	69.93008621	47.54591199	63.82942069
GID39	66.610132	2.74076031	69.82146343	46.63128179	63.38233844
GID40	64.50610249	2.618834283	71.0516642	48.77722672	61.02244751
GID41	67.40297115	2.672393582	70.95068858	48.72195887	61.5752368
GID42	61.5081603	2.454780543	70.7873008	50.99725141	59.97118828
GID43	66.72068499	2.553882944	73.10598304	51.66558578	58.09682347
GID44	68.95455538	2.473533301	70.91025766	52.19772904	59.26873708
GID45	63.63692667	2.531687831	72.03034297	51.30756509	59.52253428
GID46	62.94355144	2.5829422	69.79018065	50.18035718	60.31515925
GID47	60.28052454	2.670174451	70.18863506	49.73119307	61.24931233
GID48	64.59353919	2.566511244	68.25393625	47.57106396	59.51814779
GID49	69.12898905	2.480795979	67.40048748	42.99100148	62.30884731
GID50	80.86206595	2.420917662	66.64842208	42.81986017	62.98825662
GID51	69.10272243	2.683400318	69.32313907	47.62539609	61.08354335
GID52	63.86272447	2.445071939	67.2108832	46.34984412	58.36180963
GID53	81.87120042	2.453250624	67.30725915	40.98801899	65.08065439
GID54	67.47900551	2.539830081	65.59013622	42.05067407	59.9107406
